#domain,ioc,uri_path,ip
dongjing.meidu.icu,Possible Cobalt Strike C2 Domain,/en_US/all.js,43.130.237.21
download.csdn.today,Possible Cobalt Strike C2 Fronting Domain,/static/zh.js,142.11.244.79
downloads.games2easy.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,52.87.236.219
downloads.helpsdeskmicrosoft.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,184.73.81.49
downloads.premiumlinkedin.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,54.174.87.245
downloads.siemens-updates.com,Possible Cobalt Strike C2 Domain,/c/msdownload/,188.245.191.20
doxi.life,Possible Cobalt Strike C2 Domain,/br.html,119.3.218.60
dpzdsg2t3r18m.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/jquery-zzzzzzw-3.3.1.min.js,117.72.39.83
dropper.bilibili360.xyz,Possible Cobalt Strike C2 Domain,/cm,121.5.128.191
dsx8n92acsx7i.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/fp/6kZaLk9BTo3l0Wf8uRde1kma3yJ3-UYsl8GUwq3skD,44.198.12.114
dxcwy1ox5bnyz.cloudfront.net,Possible Cobalt Strike C2 Domain,/pixel.gif,3.25.57.105
eqiufaxcom.com,Possible Cobalt Strike C2 Domain,/purple/wp06/wp-includes/po.php,134.122.39.244
evokvm.eu.org,Possible Cobalt Strike C2 Domain,/avatars,142.171.234.248
favicon-hmesc0grgac2fyar.z03.azurefd.net,Possible Cobalt Strike C2 Domain,/app.min.7b5b9f3n6a8ka.bundle.js,103.143.40.106
favicon.azureedge.net,Possible Cobalt Strike C2 Fronting Domain,/app.min.7b5b9f3n6a.bundle.js,213.183.56.111
fb.cdn-01.mylnix.com,Possible Cobalt Strike C2 Domain,/ptj,154.90.38.115
federalmls.org,Possible Cobalt Strike C2 Domain,/updates.rss,3.138.106.134
felton-shop.com,Possible Cobalt Strike C2 Domain,/Disable/membership/X7Y7LW1G,89.147.111.17
file1.amelicen.com,Possible Cobalt Strike C2 Domain,/owa/oBdoLTRDQTuAO2AgO8Vg1,216.238.121.119
